AccSpeciesName,DispersalSyndrome28,SeedDryMass26,SLA3117,GerminationRate95,LeafN14,LeafArea3113,LeafArea3114,LeafDryMass55,LeafCN146
Acacia deanei subsp. paucijuga,1,8,0,0,0,0,0,0,0
Acacia debilis,1,1,0,0,0,0,0,0,0
Acacia declinata,1,1,0,0,0,0,0,0,0
Acacia decora,3,14,6,5,0,5,0,3,0
Acacia decurrens,9,37,0,4,0,0,0,0,0
Acacia deficiens,1,7,0,6,0,0,0,0,0
Acacia deflexa,1,1,0,0,0,0,0,0,0
Acacia deltoidea,1,1,0,0,0,0,0,0,0
Acacia demissa,1,1,0,0,0,0,0,0,0
Acacia denticulosa,2,2,0,0,0,0,0,0,0
Acacia depressa,2,2,0,0,0,0,0,0,0
Acacia desmondii,12,11,0,0,0,1,0,0,0
Acacia dictyoneura,2,8,0,5,0,0,0,0,0
Acacia dictyophleba,2,2,0,4,0,0,0,0,0
Acacia difficilis,2,11,5,4,4,0,0,0,0
Acacia difformis,2,9,1,4,0,0,0,0,0
Acacia diffusa,4,0,0,0,0,0,0,0,0
Acacia dimidiata,1,3,7,4,8,0,2,0,0
Acacia disparrima,0,0,25,0,0,0,25,0,0
Acacia disparrima subsp. calidestris,1,7,0,4,0,0,0,0,0
Acacia disparrima subsp. disparrima,1,7,0,4,0,0,0,0,0
Acacia distans,1,1,0,0,0,0,0,0,0
Acacia disticha,1,7,0,0,0,0,0,0,0
Acacia dodonaeifolia,1,7,0,6,0,0,0,0,0
Acacia doratoxylon,2,13,25,5,27,6,0,4,0
Acacia dorsenna,1,1,0,0,0,0,0,0,0
Acacia drepanocarpa subsp. latifolia,1,1,0,4,0,0,0,0,0
Acacia drepanophylla,5,7,0,4,0,0,0,0,0
Acacia drummondii,2,13,0,0,0,0,0,0,0
Acacia drummondii subsp. candolleana,2,9,0,4,0,0,0,0,0
Acacia drummondii subsp. elegans,2,8,0,7,0,0,0,0,0
Acacia dunnii,2,8,0,4,0,0,0,0,0
Acacia durabilis,1,7,0,0,0,0,0,0,0
Acacia duriuscula,1,7,0,0,0,0,0,0,0
Acacia echinula,1,1,0,0,0,0,0,0,0
Acacia echinuliflora,1,1,0,0,0,0,0,0,0
Acacia effusa,1,7,0,0,0,0,0,0,0
Acacia elachantha,2,8,0,4,0,0,0,0,0
Acacia elata,6,25,0,4,0,0,0,0,0
Acacia elongata,3,14,0,0,0,0,0,0,0
Acacia elongata var. elongata,1,7,0,4,0,0,0,0,0
Acacia empelioclada,1,7,0,0,0,0,0,0,0
Acacia enterocarpa,3,9,0,4,0,0,0,0,0
Acacia ephedroides,1,1,0,0,0,0,0,0,0
Acacia eremophila var. variabilis,1,7,0,0,0,0,0,0,0
Acacia erinacea,1,7,0,0,0,0,0,0,0
Acacia eriopoda,1,7,0,0,0,0,0,0,0
Acacia errabunda,1,7,0,6,0,0,0,0,0
Acacia estrophiolata,7,11,8,4,8,1,2,0,0
Acacia euthyphylla,1,1,0,0,0,0,0,0,0
Acacia excelsa,3,19,1,0,0,1,0,0,0
Acacia excelsa subsp. angusta,2,2,0,0,0,0,0,0,0
Acacia excelsa subsp. excelsa,1,1,0,0,0,0,0,0,0
Acacia exilis,1,1,0,0,0,0,0,0,0
Acacia extensa,15,15,0,4,0,0,0,0,0
Acacia falcata,3,18,4,4,3,0,0,0,0
Acacia falciformis,4,15,26,5,0,0,25,0,0
Acacia farinosa,2,8,0,4,0,0,0,0,0
Acacia fasciculifera,0,0,0,0,0,1,0,0,0
Acacia fauntleroyi,1,1,0,0,0,0,0,0,0
Acacia filicifolia,2,11,0,4,0,0,0,0,0
Acacia filifolia,3,9,0,6,0,0,0,0,0
Acacia fimbriata,4,26,25,4,0,0,25,0,0
Acacia flabellifolia,1,7,0,0,0,0,0,0,0
Acacia flavescens,2,9,3,4,2,0,3,0,0
Acacia flavipila var. ovalis,1,1,0,0,0,0,0,0,0
Acacia flexifolia,2,8,0,1,0,0,0,0,0
Acacia flocktoniae,2,11,0,0,0,0,0,0,0
Acacia floribunda,6,35,9,4,10,4,0,2,0
Acacia floydii,1,7,0,4,0,0,0,0,0
Acacia fragilis,1,7,0,4,0,0,0,0,0
Acacia frigescens,1,7,0,0,0,0,0,0,0
Acacia fulva,1,1,0,0,0,0,0,0,0
Acacia fuscaneura,1,1,0,0,0,0,0,0,0
Acacia galeata,1,7,0,4,0,0,0,0,0
Acacia galioides,2,2,0,0,0,0,0,0,0
Acacia gemina,1,1,0,0,0,0,0,0,0
Acacia genistifolia,7,9,1,5,0,1,1,0,0
Acacia georgensis,1,1,0,0,0,0,0,0,0
Acacia georginae,11,11,0,4,0,1,0,0,0
Acacia gillii,1,7,0,4,0,0,0,0,0
Acacia gittinsii,1,1,0,4,0,0,0,0,0
Acacia gladiiformis,1,7,0,5,0,0,0,0,0
Acacia glandulicarpa,2,9,0,4,0,0,0,0,0
Acacia glaucissima,1,7,0,0,0,0,0,0,0
Acacia glaucocarpa,2,9,24,4,0,0,24,0,0
Acacia glaucoptera,2,2,0,4,0,0,0,0,0
Acacia gnidium,1,8,0,0,0,0,0,0,0
Acacia gonocarpa,1,1,1,0,1,0,0,0,0
Acacia gonoclada,2,8,0,4,0,0,0,0,0
Acacia gonophylla,2,2,0,4,0,0,0,0,0
Acacia gordonii,1,7,0,4,0,0,0,0,0
Acacia gracilifolia,1,7,0,4,0,0,0,0,0
Acacia granitica,2,8,0,5,0,0,0,0,0
Acacia grasbyi,1,1,0,0,0,0,0,0,0
Acacia grisea,2,8,0,0,0,0,0,0,0
Acacia gunnii,1,7,0,0,0,0,0,0,0
Acacia hakeoides,5,17,3,5,0,3,0,1,0
Acacia hamersleyensis,1,7,0,0,0,0,0,0,0
Acacia hamiltoniana,1,7,0,4,0,0,0,0,0
Acacia hammondii,1,7,2,4,2,0,1,0,0
Acacia harpophylla,3,10,0,5,0,0,0,0,0
Acacia havilandiorum,2,18,20,5,28,2,1,1,0
Acacia hebeclada subsp. tristis,0,6,0,5,0,0,0,0,0
Acacia helicophylla,1,1,0,4,0,0,0,0,0
Acacia hemignosta,1,9,2,4,2,0,1,0,0
Acacia hemiteles,4,20,0,8,6,0,0,0,0
Acacia hemsleyi,1,7,2,4,2,0,1,0,0
Acacia heterochroa subsp. heterochroa,1,7,0,0,0,0,0,0,0
Acacia heteroclita subsp. heteroclita,1,1,0,0,0,0,0,0,0
Acacia heteroclita subsp. valida,2,8,0,7,0,0,0,0,0
Acacia hexaneura,1,1,0,4,0,0,0,0,0
Acacia hilliana,2,8,0,4,0,0,0,0,0
Acacia hispidula,3,12,5,4,0,0,5,0,0
Acacia holosericea,2,13,12,4,13,0,2,0,0
